RowID,Nation,FIS code,Year,Time,Bib,Rank,Athlete,Event Name,Date
1,AUT,9050279,2001,51.16,22,1,BURGSTALLER Dominik,Qualification Götschen (GER),2023-12-08
2,AUT,9050238,1997,51.70,25,2,AUNER Arvid,Qualification Götschen (GER),2023-12-08
3,CAN,9101129,2002,52.38,20,3,HELDMAN Ben,Qualification Götschen (GER),2023-12-08
4,GER,9200158,2001,52.38,31,4,PRANTL Ole-Mikkel,Qualification Götschen (GER),2023-12-08
5,AUT,9050042,1989,52.45,17,5,PAYER Alexander,Qualification Götschen (GER),2023-12-08
6,AUT,9050297,2003,52.51,23,6,KARNER Christoph,Qualification Götschen (GER),2023-12-08
7,CAN,9100945,2000,52.73,28,7,GAUDET Arnaud,Qualification Götschen (GER),2023-12-08
8,GER,9200128,1999,52.92,32,8,HUBER Elias,Qualification Götschen (GER),2023-12-08
9,JPN,7300127,1986,53.00,21,9,SHIBA Masaki,Qualification Götschen (GER),2023-12-08
10,JPN,9300856,2001,53.14,44,10,SHINOHARA Ryusuke,Qualification Götschen (GER),2023-12-08
11,ITA,9290395,2002,53.38,18,11,LANTSCHNER Fabian,Qualification Götschen (GER),2023-12-08
12,ITA,9290464,2005,53.57,48,12,ZIMMERHOFER Elias,Qualification Götschen (GER),2023-12-08
13,CAN,9100940,2000,53.86,33,13,BEHAN Jamie,Qualification Götschen (GER),2023-12-08
14,UKR,9690121,1999,53.92,27,14,KHARUK Mykhailo,Qualification Götschen (GER),2023-12-08
15,GER,9200145,2000,53.94,30,15,ANGENEND Yannik,Qualification Götschen (GER),2023-12-08
16,CHN,1124993,2002,54.16,39,16,BAN Xuefu,Qualification Götschen (GER),2023-12-08
17,KOR,9320197,2002,54.24,46,17,MA Junho,Qualification Götschen (GER),2023-12-08
18,GER,9200203,2004,54.54,61,18,VOJTASEK Samuel,Qualification Götschen (GER),2023-12-08
19,JPN,9300870,2001,54.61,40,19,SHIMIZU Daichi,Qualification Götschen (GER),2023-12-08
20,LAT,9550007,1983,54.65,74,20,KORDE Edijs,Qualification Götschen (GER),2023-12-08
21,CZE,9150333,2006,54.66,54,21,MINARIK Krystof,Qualification Götschen (GER),2023-12-08
22,USA,9531069,1997,54.73,41,22,UDOLF Dylan,Qualification Götschen (GER),2023-12-08
23,JPN,9301037,2005,54.84,47,23,SUMINAGA Shogo,Qualification Götschen (GER),2023-12-08
24,AUT,9050308,2004,55.18,62,24,TREFFLER Julian,Qualification Götschen (GER),2023-12-08
25,CAN,9100748,1998,55.27,43,25,KILMER-CHOI Richard Riley,Qualification Götschen (GER),2023-12-08
26,POL,9430208,2006,55.49,73,26,KULPINSKI Anatol,Qualification Götschen (GER),2023-12-08
27,AUT,9050272,2001,55.77,29,27,PINK Matthaeus,Qualification Götschen (GER),2023-12-08
28,AUT,9050316,2005,56.71,37,28,PIETSCH Werner,Qualification Götschen (GER),2023-12-08
29,ITA,9290497,2006,1:01.47,56,29,HALLER Manuel,Qualification Götschen (GER),2023-12-08
30,KOR,9320127,1998,26.33,26,30,HONG Seung-Yeong,Qualification Götschen (GER),2023-12-08
31,GER,9200176,2002,27.10,49,31,TANIGUCHI Kaijo,Qualification Götschen (GER),2023-12-08
32,CAN,9101030,2001,27.27,36,32,CARPENTIER Justin,Qualification Götschen (GER),2023-12-08
33,CZE,9150168,1999,27.29,52,33,POCINEK Adam,Qualification Götschen (GER),2023-12-08
34,ITA,9290463,2005,27.29,38,34,SANTUARI Mike,Qualification Götschen (GER),2023-12-08
35,CAN,9100939,2000,27.29,34,35,NAZWASKI Michael,Qualification Götschen (GER),2023-12-08
