RowID,Nation,FIS code,Year,Time,Bib,Athlete,Rank,Event Name,Date
33,AUT,9055093,2001,31.52,45,KAINZ Carmen,33,Qualification Bad Gastein (AUT),2024-01-16
34,JPN,9305265,1994,31.89,46,KOSHISAKA Ayana,34,Qualification Bad Gastein (AUT),2024-01-16
1,GER,9205058,1996,56.38,24,HOFMEISTER Ramona Theresia,1,Qualification Bad Gastein (AUT),2024-01-16
2,SLO,1569955,1989,56.81,31,KOTNIK Gloria,2,Qualification Bad Gastein (AUT),2024-01-16
3,SUI,9515082,1992,57.01,22,ZOGG Julie,3,Qualification Bad Gastein (AUT),2024-01-16
4,JPN,9305427,2003,57.06,32,MIKI Tsubaki,4,Qualification Bad Gastein (AUT),2024-01-16
5,ITA,9295145,1997,57.24,23,DALMASSO Lucia,5,Qualification Bad Gastein (AUT),2024-01-16
6,UKR,1699945,1990,57.58,29,DANCHA Annamari,6,Qualification Bad Gastein (AUT),2024-01-16
7,AUT,9055032,1992,57.59,28,SCHOEFFMANN Sabine,7,Qualification Bad Gastein (AUT),2024-01-16
8,AUT,1004920,1973,57.67,21,RIEGLER Claudia,8,Qualification Bad Gastein (AUT),2024-01-16
9,GER,9205056,1996,58.04,25,HOCHREITER Melanie,9,Qualification Bad Gastein (AUT),2024-01-16
10,ITA,9295132,1999,58.13,18,CAFFONT Elisa,10,Qualification Bad Gastein (AUT),2024-01-16
11,NED,9405023,1996,58.18,17,DEKKER Michelle,11,Qualification Bad Gastein (AUT),2024-01-16
12,ITA,9295154,2001,58.37,34,CORATTI Jasmin,12,Qualification Bad Gastein (AUT),2024-01-16
13,SUI,9515102,1993,58.40,19,JENNY Ladina,13,Qualification Bad Gastein (AUT),2024-01-16
14,CZE,9155072,2003,58.53,27,MADEROVA Zuzana,14,Qualification Bad Gastein (AUT),2024-01-16
15,GER,9205104,2006,59.03,48,JANSING Salome,15,Qualification Bad Gastein (AUT),2024-01-16
16,USA,9535569,2003,59.50,20,PFLUM Iris,16,Qualification Bad Gastein (AUT),2024-01-16
17,SUI,9515154,1997,59.59,30,GASSER Larissa,17,Qualification Bad Gastein (AUT),2024-01-16
18,GER,9205050,1994,1:00.27,26,LOCH Cheyenne,18,Qualification Bad Gastein (AUT),2024-01-16
19,UKR,9695036,2003,1:00.79,47,HAPATYN Nadiia,19,Qualification Bad Gastein (AUT),2024-01-16
20,SUI,9515236,2007,1:00.95,35,VON SIEBENTHAL Xenia,20,Qualification Bad Gastein (AUT),2024-01-16
21,CZE,9155107,2005,1:00.97,43,KECLIKOVA Adela,21,Qualification Bad Gastein (AUT),2024-01-16
22,CAN,9105371,2000,1:01.01,37,BUCK Kaylie,22,Qualification Bad Gastein (AUT),2024-01-16
23,SUI,9515213,2004,1:01.34,50,BAETSCHI Laila Ursina,23,Qualification Bad Gastein (AUT),2024-01-16
24,AUS,9045081,1997,1:01.41,36,BONGIORNO Millie,24,Qualification Bad Gastein (AUT),2024-01-16
25,AUT,9055101,2002,1:01.65,41,WEIS Miriam,25,Qualification Bad Gastein (AUT),2024-01-16
26,AUT,9055100,2002,1:01.69,44,PICHELKASTNER Jessica,26,Qualification Bad Gastein (AUT),2024-01-16
27,SUI,9515196,2002,1:01.94,40,HAUSER Ricarda,27,Qualification Bad Gastein (AUT),2024-01-16
28,POL,9435070,1999,1:01.99,39,BUKOWSKA-CHYC Maria,28,Qualification Bad Gastein (AUT),2024-01-16
29,GER,9205103,2006,1:03.06,49,SCHEID Mathilda,29,Qualification Bad Gastein (AUT),2024-01-16
30,USA,9535431,1999,1:03.42,42,KIZUKA Kaiya,30,Qualification Bad Gastein (AUT),2024-01-16
31,SUI,9515212,2003,"",33,BAETSCHI Flurina Neva,31,Qualification Bad Gastein (AUT),2024-01-16
32,POL,9435077,2000,"",38,KWIATKOWSKA Olimpia,32,Qualification Bad Gastein (AUT),2024-01-16
