RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,220.00,CZE,9155072,2003,13,MADEROVA Zuzana,1,National Championships Dolni Morava (CZE),2024-01-07
2,176.00,POL,9435104,2006,18,DAWIDEK Weronika,2,National Championships Dolni Morava (CZE),2024-01-07
3,132.00,CZE,9155107,2005,15,KECLIKOVA Adela,3,National Championships Dolni Morava (CZE),2024-01-07
4,110.00,UKR,9695036,2003,14,HAPATYN Nadiia,4,National Championships Dolni Morava (CZE),2024-01-07
5,99.00,CZE,9155052,1996,24,HOUZVICKOVA Kristyna,5,National Championships Dolni Morava (CZE),2024-01-07
6,88.00,POL,9435094,2004,16,KACICZAK Olga,6,National Championships Dolni Morava (CZE),2024-01-07
7,79.20,CZE,9155137,2007,19,OTIPKOVA Hana,7,National Championships Dolni Morava (CZE),2024-01-07
8,70.40,POL,9435100,2005,20,ZAPALA Sonia,8,National Championships Dolni Morava (CZE),2024-01-07
9,63.80,POL,9435099,2004,23,STOKLOSA Natalia,9,National Championships Dolni Morava (CZE),2024-01-07
10,57.20,POL,9435098,2004,22,PIWOWARCZYK Natasza,10,National Championships Dolni Morava (CZE),2024-01-07
11,52.80,CZE,9155116,2006,17,MARESOVA Emma Maya,11,National Championships Dolni Morava (CZE),2024-01-07
12,48.40,CZE,9155071,2003,25,SONKOVA Klara,12,National Championships Dolni Morava (CZE),2024-01-07
13,"",CZE,9155110,2006,21,BIEGELOVA Sofie,13,National Championships Dolni Morava (CZE),2024-01-07
