RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,120.00,GER,9205105,2006,12,GUNKEL Hannah,1,FIS Gosau (AUT),2024-01-13
2,96.00,CZE,9155116,2006,16,MARESOVA Emma Maya,2,FIS Gosau (AUT),2024-01-13
3,72.00,ITA,9295224,2006,13,MAMMONE Anna Victoria,3,FIS Gosau (AUT),2024-01-13
4,60.00,CZE,9155110,2006,11,BIEGELOVA Sofie,4,FIS Gosau (AUT),2024-01-13
5,54.00,AUT,9055107,2003,6,SCHOEFFMANN Pia,5,FIS Gosau (AUT),2024-01-13
6,48.00,GER,9205100,2005,8,BUCCIONI Aurelia,6,FIS Gosau (AUT),2024-01-13
7,43.20,GER,9205106,2007,3,REICHELMEIR Ina,7,FIS Gosau (AUT),2024-01-13
8,38.40,GER,9205097,2005,7,TANIGUCHI Yuna,8,FIS Gosau (AUT),2024-01-13
9,34.80,ITA,9295211,2005,14,RABANSER Sophie,9,FIS Gosau (AUT),2024-01-13
10,31.20,SUI,9515198,2002,9,KLEESATTEL Eliane,10,FIS Gosau (AUT),2024-01-13
11,28.80,AUT,9055112,2004,15,NEUMANN Lisa,11,FIS Gosau (AUT),2024-01-13
12,26.40,ITA,9295228,2005,4,LAMBER Viktoria,12,FIS Gosau (AUT),2024-01-13
13,24.00,AUT,9055128,2008,18,DABRINGER Franziska,13,FIS Gosau (AUT),2024-01-13
14,21.60,CZE,9155149,2008,1,KOZELSKA Ivana,14,FIS Gosau (AUT),2024-01-13
15,19.20,SUI,9515251,2008,2,DE FILIPPO Giada,15,FIS Gosau (AUT),2024-01-13
16,18.00,GER,9205107,2007,10,VOJTASEKOVA Simona,16,FIS Gosau (AUT),2024-01-13
17,16.80,AUT,9055126,2008,19,ARZBERGER Valentina,17,FIS Gosau (AUT),2024-01-13
18,15.60,HUN,1249973,2008,17,FARKAS Katalin,18,FIS Gosau (AUT),2024-01-13
19,"",CZE,9155148,2008,5,KOZELSKA Adela,19,FIS Gosau (AUT),2024-01-13
