RowID,Nation,FIS code,Year,Time,Bib,Rank,Athlete,Event Name,Date
1,JPN,9305427,2003,55.57,27,1,MIKI Tsubaki,Qualification Götschen (GER),2023-12-09
2,GER,9205058,1996,55.68,19,2,HOFMEISTER Ramona Theresia,Qualification Götschen (GER),2023-12-09
3,CAN,9105518,2005,56.08,28,3,MOISAN Aurelie,Qualification Götschen (GER),2023-12-09
4,GER,9205050,1994,56.12,20,4,LOCH Cheyenne,Qualification Götschen (GER),2023-12-09
5,GER,9205056,1996,57.04,22,5,HOCHREITER Melanie,Qualification Götschen (GER),2023-12-09
6,AUT,9055093,2001,57.51,23,6,KAINZ Carmen,Qualification Götschen (GER),2023-12-09
7,CHN,9125001,1998,57.92,75,7,GONG Naiying,Qualification Götschen (GER),2023-12-09
8,AUT,9055107,2003,57.97,25,8,SCHOEFFMANN Pia,Qualification Götschen (GER),2023-12-09
9,CAN,9105371,2000,57.98,17,9,BUCK Kaylie,Qualification Götschen (GER),2023-12-09
10,USA,9535569,2003,58.05,24,10,PFLUM Iris,Qualification Götschen (GER),2023-12-09
11,SUI,9515212,2003,58.14,31,11,BAETSCHI Flurina Neva,Qualification Götschen (GER),2023-12-09
12,AUT,9055101,2002,58.23,30,12,WEIS Miriam,Qualification Götschen (GER),2023-12-09
13,SUI,9515196,2002,58.37,38,13,HAUSER Ricarda,Qualification Götschen (GER),2023-12-09
14,SUI,9515213,2004,58.42,59,14,BAETSCHI Laila Ursina,Qualification Götschen (GER),2023-12-09
15,JPN,9305432,2003,58.44,52,15,KANAZAWA Noa,Qualification Götschen (GER),2023-12-09
16,CHN,9125028,2001,58.49,51,16,KONG Binbin,Qualification Götschen (GER),2023-12-09
17,SUI,9515236,2007,58.57,26,17,VON SIEBENTHAL Xenia,Qualification Götschen (GER),2023-12-09
18,ITA,9295158,2003,58.84,21,18,FAVA Elisa,Qualification Götschen (GER),2023-12-09
19,GER,9205104,2006,58.88,35,19,JANSING Salome,Qualification Götschen (GER),2023-12-09
20,GER,9205103,2006,58.97,43,20,SCHEID Mathilda,Qualification Götschen (GER),2023-12-09
21,AUT,9055118,2006,59.05,46,21,GAMS Marie,Qualification Götschen (GER),2023-12-09
22,POL,9435104,2006,59.13,18,22,DAWIDEK Weronika,Qualification Götschen (GER),2023-12-09
23,USA,9535431,1999,59.33,29,23,KIZUKA Kaiya,Qualification Götschen (GER),2023-12-09
24,AUT,9055100,2002,59.53,45,24,PICHELKASTNER Jessica,Qualification Götschen (GER),2023-12-09
25,POL,9435097,2004,1:00.04,63,25,POLTORAK Karolina,Qualification Götschen (GER),2023-12-09
26,CZE,9155071,2003,1:00.33,44,26,SONKOVA Klara,Qualification Götschen (GER),2023-12-09
27,UKR,9695036,2003,1:00.35,32,27,HAPATYN Nadiia,Qualification Götschen (GER),2023-12-09
28,ITA,9295234,2008,1:00.42,80,28,CARNEVALI Giorgia,Qualification Götschen (GER),2023-12-09
29,USA,9535531,2000,1:00.73,37,29,BULLIS Alexa,Qualification Götschen (GER),2023-12-09
30,CHN,9125009,1997,1:00.80,36,30,DONG Xue,Qualification Götschen (GER),2023-12-09
31,GER,9205100,2005,1:01.06,64,31,BUCCIONI Aurelia,Qualification Götschen (GER),2023-12-09
32,GER,9205112,2008,1:03.76,78,32,JANSING Zoe,Qualification Götschen (GER),2023-12-09
33,JPN,9305291,1996,29.98,61,33,TOYODA Asa,Qualification Götschen (GER),2023-12-09
34,GER,9205097,2005,29.98,49,34,TANIGUCHI Yuna,Qualification Götschen (GER),2023-12-09
35,JPN,9305265,1994,30.02,33,35,KOSHISAKA Ayana,Qualification Götschen (GER),2023-12-09
36,UKR,1699984,1997,30.08,55,36,MALOVANNA Oleksandra,Qualification Götschen (GER),2023-12-09
37,CHN,9125092,2004,30.23,60,37,PANG Yu,Qualification Götschen (GER),2023-12-09
