RowID,Nation,FIS code,Year,Time,Bib,Rank,Athlete,Event Name,Date
1,AUT,9055032,1992,56.22,31,1,SCHOEFFMANN Sabine,Qualification Götschen (GER),2023-12-08
2,GER,9205058,1996,57.01,23,2,HOFMEISTER Ramona Theresia,Qualification Götschen (GER),2023-12-08
3,AUT,9055093,2001,57.22,24,3,KAINZ Carmen,Qualification Götschen (GER),2023-12-08
4,CAN,9105518,2005,57.63,29,4,MOISAN Aurelie,Qualification Götschen (GER),2023-12-08
5,GER,9205056,1996,57.93,30,5,HOCHREITER Melanie,Qualification Götschen (GER),2023-12-08
6,CHN,9125001,1998,58.10,75,6,GONG Naiying,Qualification Götschen (GER),2023-12-08
7,AUT,9055101,2002,58.15,20,7,WEIS Miriam,Qualification Götschen (GER),2023-12-08
8,GER,9205112,2008,58.38,80,8,JANSING Zoe,Qualification Götschen (GER),2023-12-08
9,USA,9535569,2003,58.50,32,9,PFLUM Iris,Qualification Götschen (GER),2023-12-08
10,AUT,9055107,2003,58.61,28,10,SCHOEFFMANN Pia,Qualification Götschen (GER),2023-12-08
11,SUI,9515212,2003,58.71,27,11,BAETSCHI Flurina Neva,Qualification Götschen (GER),2023-12-08
12,ITA,9295158,2003,58.79,18,12,FAVA Elisa,Qualification Götschen (GER),2023-12-08
13,GER,9205104,2006,58.82,35,13,JANSING Salome,Qualification Götschen (GER),2023-12-08
14,POL,9435104,2006,59.43,22,14,DAWIDEK Weronika,Qualification Götschen (GER),2023-12-08
15,CHN,9125028,2001,59.43,51,15,KONG Binbin,Qualification Götschen (GER),2023-12-08
16,SUI,9515196,2002,59.78,38,16,HAUSER Ricarda,Qualification Götschen (GER),2023-12-08
17,SUI,9515236,2007,59.93,19,17,VON SIEBENTHAL Xenia,Qualification Götschen (GER),2023-12-08
18,CAN,9105371,2000,59.96,25,18,BUCK Kaylie,Qualification Götschen (GER),2023-12-08
19,AUT,9055118,2006,1:00.03,46,19,GAMS Marie,Qualification Götschen (GER),2023-12-08
20,CHN,9125009,1997,1:00.04,36,20,DONG Xue,Qualification Götschen (GER),2023-12-08
21,GER,9205103,2006,1:00.08,44,21,SCHEID Mathilda,Qualification Götschen (GER),2023-12-08
22,CZE,9155071,2003,1:00.16,43,22,SONKOVA Klara,Qualification Götschen (GER),2023-12-08
23,USA,9535531,2000,1:00.27,37,23,BULLIS Alexa,Qualification Götschen (GER),2023-12-08
24,AUT,9055100,2002,1:00.56,45,24,PICHELKASTNER Jessica,Qualification Götschen (GER),2023-12-08
25,UKR,9695036,2003,1:00.58,26,25,HAPATYN Nadiia,Qualification Götschen (GER),2023-12-08
26,JPN,9305432,2003,1:00.71,52,26,KANAZAWA Noa,Qualification Götschen (GER),2023-12-08
27,USA,9535431,1999,1:01.05,33,27,KIZUKA Kaiya,Qualification Götschen (GER),2023-12-08
28,CZE,9155107,2005,1:01.05,34,28,KECLIKOVA Adela,Qualification Götschen (GER),2023-12-08
29,JPN,9305265,1994,1:01.45,21,29,KOSHISAKA Ayana,Qualification Götschen (GER),2023-12-08
30,UKR,1699984,1997,1:05.79,55,30,MALOVANNA Oleksandra,Qualification Götschen (GER),2023-12-08
31,SUI,9515213,2004,28.97,59,31,BAETSCHI Laila Ursina,Qualification Götschen (GER),2023-12-08
32,GER,9205100,2005,29.76,64,32,BUCCIONI Aurelia,Qualification Götschen (GER),2023-12-08
