RowID,Nation,FIS code,Year,Time,Bib,Rank,Athlete,Event Name,Date
1,AUT,9050238,1997,58.82,19,1,AUNER Arvid,Qualification Pamporovo (BUL),2024-01-21
2,BUL,1094969,1990,59.10,27,2,YANKOV Radoslav,Qualification Pamporovo (BUL),2024-01-21
3,ITA,9290200,1994,59.18,31,3,BORMOLINI Maurizio,Qualification Pamporovo (BUL),2024-01-21
4,KOR,9320091,1995,59.53,26,4,LEE Sangho,Qualification Pamporovo (BUL),2024-01-21
5,ITA,9290151,1992,59.71,43,5,FELICETTI Mirko,Qualification Pamporovo (BUL),2024-01-21
6,AUT,9050217,1996,59.72,21,6,OBMANN Fabian,Qualification Pamporovo (BUL),2024-01-21
7,AUT,1093190,1980,59.81,28,7,PROMMEGGER Andreas,Qualification Pamporovo (BUL),2024-01-21
8,AUT,1054984,1985,59.92,24,8,KARL Benjamin,Qualification Pamporovo (BUL),2024-01-21
9,AUT,9050279,2001,1:00.04,38,9,BURGSTALLER Dominik,Qualification Pamporovo (BUL),2024-01-21
10,ITA,7538766,1986,1:00.11,23,10,MARCH Aaron,Qualification Pamporovo (BUL),2024-01-21
11,AUT,9050196,1995,1:00.15,47,11,JURITZ Aron,Qualification Pamporovo (BUL),2024-01-21
12,GER,9200092,1993,1:00.25,18,12,BAUMEISTER Stefan,Qualification Pamporovo (BUL),2024-01-21
13,CAN,9101129,2002,1:00.25,37,13,HELDMAN Ben,Qualification Pamporovo (BUL),2024-01-21
14,AUT,9050042,1989,1:00.29,30,14,PAYER Alexander,Qualification Pamporovo (BUL),2024-01-21
15,AUT,9050029,1988,1:00.49,39,15,KISLINGER Sebastian,Qualification Pamporovo (BUL),2024-01-21
16,USA,9531244,2000,1:00.65,17,16,WINTERS Cody,Qualification Pamporovo (BUL),2024-01-21
17,JPN,7300127,1986,1:00.84,44,17,SHIBA Masaki,Qualification Pamporovo (BUL),2024-01-21
18,AUT,9050272,2001,1:00.90,40,18,PINK Matthaeus,Qualification Pamporovo (BUL),2024-01-21
19,BUL,9090161,2005,1:01.10,55,19,GERGYOVSKI Petar,Qualification Pamporovo (BUL),2024-01-21
20,BUL,9090160,2005,1:01.10,50,19,ZAMFIROV Tervel,Qualification Pamporovo (BUL),2024-01-21
21,POL,9430120,1996,1:01.15,35,21,KWIATKOWSKI Oskar,Qualification Pamporovo (BUL),2024-01-21
22,SLO,9560053,1991,1:01.43,33,22,MASTNAK Tim,Qualification Pamporovo (BUL),2024-01-21
23,CAN,9100945,2000,1:02.16,29,23,GAUDET Arnaud,Qualification Pamporovo (BUL),2024-01-21
24,KOR,9320014,1989,1:02.98,42,24,KIM Sangkyum,Qualification Pamporovo (BUL),2024-01-21
25,KOR,9320197,2002,1:04.31,66,25,MA Junho,Qualification Pamporovo (BUL),2024-01-21
26,BUL,9090158,2004,1:04.73,54,26,KRASHNIAK Alexander,Qualification Pamporovo (BUL),2024-01-21
27,CAN,9101030,2001,1:05.14,58,27,CARPENTIER Justin,Qualification Pamporovo (BUL),2024-01-21
28,JPN,9300870,2001,1:11.20,62,28,SHIMIZU Daichi,Qualification Pamporovo (BUL),2024-01-21
29,CAN,9100748,1998,1:18.47,64,29,KILMER-CHOI Richard Riley,Qualification Pamporovo (BUL),2024-01-21
30,SLO,1659088,1984,"",25,30,KOSIR Zan,Qualification Pamporovo (BUL),2024-01-21
31,ITA,1163127,1980,"",34,31,FISCHNALLER Roland,Qualification Pamporovo (BUL),2024-01-21
32,GER,9200128,1999,"",45,32,HUBER Elias,Qualification Pamporovo (BUL),2024-01-21
33,BUL,9090159,2004,31.16,67,33,GEORGIEV Kristian,Qualification Pamporovo (BUL),2024-01-21
34,AUT,9050316,2005,31.79,59,34,PIETSCH Werner,Qualification Pamporovo (BUL),2024-01-21
35,USA,9531069,1997,32.16,63,35,UDOLF Dylan,Qualification Pamporovo (BUL),2024-01-21
36,CAN,9100939,2000,32.58,57,36,NAZWASKI Michael,Qualification Pamporovo (BUL),2024-01-21
37,AUS,9040213,1999,32.89,73,37,EDMANSON Harvey,Qualification Pamporovo (BUL),2024-01-21
38,CZE,9150168,1999,33.67,69,38,POCINEK Adam,Qualification Pamporovo (BUL),2024-01-21
39,UKR,9690062,1995,35.71,72,39,BELINSKYI Oleksandr,Qualification Pamporovo (BUL),2024-01-21
40,BUL,9090090,1996,35.81,76,40,GYOSHARKOV Petar,Qualification Pamporovo (BUL),2024-01-21
41,UKR,9690121,1999,36.09,53,41,KHARUK Mykhailo,Qualification Pamporovo (BUL),2024-01-21
42,MKD,1568975,1979,38.68,70,42,KACARSKI Aleksandar,Qualification Pamporovo (BUL),2024-01-21
43,BUL,9090065,1994,42.52,74,43,GANICHEV Dimitar,Qualification Pamporovo (BUL),2024-01-21
44,POL,9430124,1996,42.77,46,44,NOWACZYK Michal,Qualification Pamporovo (BUL),2024-01-21
45,BUL,9090170,2006,43.47,77,45,MILCHEV Georgi,Qualification Pamporovo (BUL),2024-01-21
46,BUL,1094937,1983,"",75,"",VANGELOV Stanislav,Qualification Pamporovo (BUL),2024-01-21
47,POL,9430169,1999,"",71,"",RUTKOWSKI Mikolaj,Qualification Pamporovo (BUL),2024-01-21
48,KOR,9320222,2005,"",68,"",PARK Jisung,Qualification Pamporovo (BUL),2024-01-21
49,JPN,9300856,2001,"",65,"",SHINOHARA Ryusuke,Qualification Pamporovo (BUL),2024-01-21
50,ITA,9290463,2005,"",61,"",SANTUARI Mike,Qualification Pamporovo (BUL),2024-01-21
51,CAN,9100570,1996,"",60,"",LEFEBVRE Jules,Qualification Pamporovo (BUL),2024-01-21
52,CAN,9100940,2000,"",56,"",BEHAN Jamie,Qualification Pamporovo (BUL),2024-01-21
53,ITA,9290395,2002,"",51,"",LANTSCHNER Fabian,Qualification Pamporovo (BUL),2024-01-21
54,GER,9200158,2001,"",49,"",PRANTL Ole-Mikkel,Qualification Pamporovo (BUL),2024-01-21
55,AUT,9050297,2003,"",48,"",KARNER Christoph,Qualification Pamporovo (BUL),2024-01-21
56,SUI,9510417,2000,"",41,"",CASANOVA Gian,Qualification Pamporovo (BUL),2024-01-21
57,SLO,7560012,1986,"",36,"",MARGUC Rok,Qualification Pamporovo (BUL),2024-01-21
58,SUI,9510316,1995,"",32,"",CAVIEZEL Dario,Qualification Pamporovo (BUL),2024-01-21
59,ITA,9290227,1995,"",22,"",BAGOZZA Daniele,Qualification Pamporovo (BUL),2024-01-21
60,ITA,9290107,1991,"",20,"",CORATTI Edwin,Qualification Pamporovo (BUL),2024-01-21
61,GER,9200145,2000,"",52,"",ANGENEND Yannik,Qualification Pamporovo (BUL),2024-01-21
