RowID,Nation,FIS code,Year,Time,Bib,Athlete,Rank,Event Name,Date
33,AUT,9055100,2002,37.83,52,PICHELKASTNER Jessica,33,Qualification Simonhöhe (AUT),2024-01-27
34,JPN,9305265,1994,38.01,48,KOSHISAKA Ayana,34,Qualification Simonhöhe (AUT),2024-01-27
35,UKR,9695036,2003,"",44,HAPATYN Nadiia,"",Qualification Simonhöhe (AUT),2024-01-27
36,CAN,9105371,2000,"",37,BUCK Kaylie,"",Qualification Simonhöhe (AUT),2024-01-27
37,AUT,9055107,2003,"",51,SCHOEFFMANN Pia,"",Qualification Simonhöhe (AUT),2024-01-27
38,AUT,9055099,2002,"",45,ANKELE Martina,"",Qualification Simonhöhe (AUT),2024-01-27
1,JPN,9305427,2003,1:07.83,20,MIKI Tsubaki,1,Qualification Simonhöhe (AUT),2024-01-27
2,AUT,9055032,1992,1:08.29,27,SCHOEFFMANN Sabine,2,Qualification Simonhöhe (AUT),2024-01-27
3,ITA,9295132,1999,1:08.61,17,CAFFONT Elisa,3,Qualification Simonhöhe (AUT),2024-01-27
4,ITA,9295145,1997,1:08.62,19,DALMASSO Lucia,4,Qualification Simonhöhe (AUT),2024-01-27
5,NED,9405023,1996,1:08.85,24,DEKKER Michelle,5,Qualification Simonhöhe (AUT),2024-01-27
6,AUT,9055071,1998,1:08.88,31,ULBING Daniela,6,Qualification Simonhöhe (AUT),2024-01-27
7,SUI,9515082,1992,1:09.20,18,ZOGG Julie,7,Qualification Simonhöhe (AUT),2024-01-27
8,CZE,9155072,2003,1:09.29,30,MADEROVA Zuzana,8,Qualification Simonhöhe (AUT),2024-01-27
9,GER,9205056,1996,1:09.30,28,HOCHREITER Melanie,9,Qualification Simonhöhe (AUT),2024-01-27
10,KOR,9325017,1995,1:09.31,33,JEONG Haerim,10,Qualification Simonhöhe (AUT),2024-01-27
11,AUT,1004920,1973,1:09.43,26,RIEGLER Claudia,11,Qualification Simonhöhe (AUT),2024-01-27
12,ITA,9295154,2001,1:09.75,25,CORATTI Jasmin,12,Qualification Simonhöhe (AUT),2024-01-27
13,SUI,9515102,1993,1:10.56,29,JENNY Ladina,13,Qualification Simonhöhe (AUT),2024-01-27
14,UKR,1699945,1990,1:10.79,35,DANCHA Annamari,14,Qualification Simonhöhe (AUT),2024-01-27
15,SLO,1569955,1989,1:10.80,23,KOTNIK Gloria,15,Qualification Simonhöhe (AUT),2024-01-27
16,SUI,9515154,1997,1:11.11,36,GASSER Larissa,16,Qualification Simonhöhe (AUT),2024-01-27
17,USA,9535569,2003,1:11.40,34,PFLUM Iris,17,Qualification Simonhöhe (AUT),2024-01-27
18,JPN,1543464,1983,1:11.65,22,TAKEUCHI Tomoka,18,Qualification Simonhöhe (AUT),2024-01-27
19,POL,9435070,1999,1:12.15,40,BUKOWSKA-CHYC Maria,19,Qualification Simonhöhe (AUT),2024-01-27
20,POL,9435104,2006,1:12.16,42,DAWIDEK Weronika,20,Qualification Simonhöhe (AUT),2024-01-27
21,ITA,9295158,2003,1:12.31,43,FAVA Elisa,21,Qualification Simonhöhe (AUT),2024-01-27
22,AUT,9055093,2001,1:12.78,50,KAINZ Carmen,22,Qualification Simonhöhe (AUT),2024-01-27
23,AUT,9055101,2002,1:12.91,49,WEIS Miriam,23,Qualification Simonhöhe (AUT),2024-01-27
24,CZE,9155071,2003,1:13.08,41,SONKOVA Klara,24,Qualification Simonhöhe (AUT),2024-01-27
25,AUS,9045081,1997,1:13.73,46,BONGIORNO Millie,25,Qualification Simonhöhe (AUT),2024-01-27
26,CZE,9155107,2005,1:14.23,53,KECLIKOVA Adela,26,Qualification Simonhöhe (AUT),2024-01-27
27,GER,9205050,1994,1:14.65,32,LOCH Cheyenne,27,Qualification Simonhöhe (AUT),2024-01-27
28,ITA,9295200,2004,1:15.07,54,FACHIN Fabiana,28,Qualification Simonhöhe (AUT),2024-01-27
29,POL,9435077,2000,"",38,KWIATKOWSKA Olimpia,29,Qualification Simonhöhe (AUT),2024-01-27
30,USA,9535431,1999,"",39,KIZUKA Kaiya,30,Qualification Simonhöhe (AUT),2024-01-27
31,UKR,1699984,1997,"",47,MALOVANNA Oleksandra,31,Qualification Simonhöhe (AUT),2024-01-27
32,GER,9205058,1996,"",21,HOFMEISTER Ramona Theresia,32,Qualification Simonhöhe (AUT),2024-01-27
