RowID,Nation,FIS code,Year,Time,Bib,Rank,Athlete,Event Name,Date
1,ITA,9290107,1991,57.47,23,1,CORATTI Edwin,Qualification Pamporovo (BUL),2024-01-20
2,ITA,9290200,1994,57.62,26,2,BORMOLINI Maurizio,Qualification Pamporovo (BUL),2024-01-20
3,ITA,9290227,1995,57.88,27,3,BAGOZZA Daniele,Qualification Pamporovo (BUL),2024-01-20
4,BUL,1094969,1990,57.93,29,4,YANKOV Radoslav,Qualification Pamporovo (BUL),2024-01-20
5,AUT,9050217,1996,58.08,30,5,OBMANN Fabian,Qualification Pamporovo (BUL),2024-01-20
6,AUT,1093190,1980,58.12,17,6,PROMMEGGER Andreas,Qualification Pamporovo (BUL),2024-01-20
7,AUT,1054984,1985,58.12,20,7,KARL Benjamin,Qualification Pamporovo (BUL),2024-01-20
8,SLO,1659088,1984,58.46,33,8,KOSIR Zan,Qualification Pamporovo (BUL),2024-01-20
9,USA,9531244,2000,58.47,18,9,WINTERS Cody,Qualification Pamporovo (BUL),2024-01-20
10,ITA,1163127,1980,58.51,36,10,FISCHNALLER Roland,Qualification Pamporovo (BUL),2024-01-20
11,POL,9430120,1996,58.53,35,11,KWIATKOWSKI Oskar,Qualification Pamporovo (BUL),2024-01-20
12,ITA,7538766,1986,58.60,28,12,MARCH Aaron,Qualification Pamporovo (BUL),2024-01-20
13,AUT,9050238,1997,58.61,25,13,AUNER Arvid,Qualification Pamporovo (BUL),2024-01-20
14,AUT,9050042,1989,58.62,24,14,PAYER Alexander,Qualification Pamporovo (BUL),2024-01-20
15,KOR,9320091,1995,58.68,19,15,LEE Sangho,Qualification Pamporovo (BUL),2024-01-20
16,CAN,9100945,2000,58.87,22,16,GAUDET Arnaud,Qualification Pamporovo (BUL),2024-01-20
17,GER,9200092,1993,59.19,31,17,BAUMEISTER Stefan,Qualification Pamporovo (BUL),2024-01-20
18,CAN,9101129,2002,59.40,39,18,HELDMAN Ben,Qualification Pamporovo (BUL),2024-01-20
19,SLO,7560012,1986,59.44,34,19,MARGUC Rok,Qualification Pamporovo (BUL),2024-01-20
20,SLO,9560053,1991,59.48,32,20,MASTNAK Tim,Qualification Pamporovo (BUL),2024-01-20
21,SUI,9510316,1995,59.49,21,21,CAVIEZEL Dario,Qualification Pamporovo (BUL),2024-01-20
22,SUI,9510417,2000,59.66,44,22,CASANOVA Gian,Qualification Pamporovo (BUL),2024-01-20
23,AUT,9050196,1995,59.71,48,23,JURITZ Aron,Qualification Pamporovo (BUL),2024-01-20
24,JPN,7300127,1986,59.79,46,24,SHIBA Masaki,Qualification Pamporovo (BUL),2024-01-20
25,AUT,9050297,2003,59.81,49,25,KARNER Christoph,Qualification Pamporovo (BUL),2024-01-20
26,BUL,9090161,2005,59.85,55,26,GERGYOVSKI Petar,Qualification Pamporovo (BUL),2024-01-20
27,KOR,9320014,1989,1:00.09,41,27,KIM Sangkyum,Qualification Pamporovo (BUL),2024-01-20
